87
III-1	III-2	III-3	III-4	A	III-5	B	III-6	III-7	III-8	III-9	III-10	III-11	III-12	III-13	III-14	III-15	III-16	C	III-17	III-18	III-19	III-20	III-21	III-22	III-23	III-24	D	I-1	I-2	I-3	I-4	E	I-5	I-6	I-7	I-8	I	I-13	I-14	I-15	I-16	M	I-21	I-22	I-23	I-24	O	N	L	II-1	II-2	II-3	II-4	H	II-12	II-11	II-10	II-9	II-20	II-19	II-18	II-17	F	G	J	K	II-5	II-6	II-7	II-8	I-12	I-11	I-10	I-9	II-13	II-14	II-15	II-16	I-20	I-19	I-18	I-17	II-21	II-22	II-23	II-24	
230.0	210.0	190.0	170.0	150.0	170.0	130.0	190.0	210.0	230.0	210.0	190.0	170.0	150.0	150.0	170.0	190.0	210.0	110.0	190.0	170.0	150.0	130.0	130.0	150.0	170.0	190.0	80.0	151.5	131.5	111.5	91.5	171.5	181.5	201.5	221.5	241.5	191.5	201.5	221.5	241.5	261.5	171.5	181.5	201.5	221.5	241.5	161.5	70.0	181.5	90.0	110.0	130.0	150.0	181.5	193.0	213.0	233.0	253.0	201.5	221.5	241.5	261.5	70.0	60.0	50.0	60.0	80.0	100.0	120.0	140.0	80.0	100.0	120.0	140.0	40.0	20.0	40.0	20.0	80.0	100.0	120.0	140.0	90.0	110.0	130.0	150.0	
250.0	230.0	210.0	190.0	170.0	190.0	150.0	210.0	230.0	250.0	230.0	210.0	190.0	170.0	170.0	190.0	210.0	230.0	130.0	210.0	190.0	170.0	150.0	150.0	170.0	190.0	210.0	100.0	171.5	151.5	131.5	111.5	191.5	201.5	221.5	241.5	261.5	211.5	221.5	241.5	261.5	281.5	191.5	201.5	221.5	241.5	261.5	181.5	90.0	201.5	110.0	130.0	150.0	170.0	201.5	213.0	233.0	253.0	273.0	221.5	241.5	261.5	281.5	90.0	80.0	70.0	80.0	100.0	120.0	140.0	160.0	100.0	120.0	140.0	160.0	60.0	40.0	20.0	40.0	100.0	120.0	140.0	160.0	110.0	130.0	150.0	170.0	
210.0	190.0	170.0	150.0	130.0	150.0	110.0	170.0	190.0	210.0	190.0	170.0	150.0	130.0	130.0	150.0	170.0	190.0	90.0	170.0	150.0	130.0	110.0	110.0	130.0	150.0	170.0	60.0	131.5	111.5	91.5	71.5	151.5	161.5	181.5	201.5	221.5	151.5	161.5	181.5	201.5	221.5	131.5	141.5	161.5	181.5	201.5	121.5	30.0	141.5	70.0	90.0	110.0	130.0	161.5	173.0	193.0	213.0	233.0	161.5	181.5	201.5	221.5	50.0	40.0	30.0	20.0	60.0	80.0	100.0	120.0	60.0	80.0	100.0	120.0	40.0	60.0	80.0	100.0	40.0	20.0	40.0	60.0	50.0	70.0	90.0	110.0	
230.0	210.0	190.0	170.0	150.0	170.0	130.0	190.0	210.0	230.0	210.0	190.0	170.0	150.0	150.0	170.0	190.0	210.0	110.0	190.0	170.0	150.0	130.0	130.0	150.0	170.0	190.0	80.0	151.5	131.5	111.5	91.5	171.5	181.5	201.5	221.5	241.5	171.5	181.5	201.5	221.5	241.5	151.5	161.5	181.5	201.5	221.5	141.5	50.0	161.5	90.0	110.0	130.0	150.0	181.5	193.0	213.0	233.0	253.0	181.5	201.5	221.5	241.5	70.0	60.0	50.0	40.0	80.0	100.0	120.0	140.0	80.0	100.0	120.0	140.0	60.0	80.0	100.0	120.0	20.0	40.0	20.0	40.0	70.0	90.0	110.0	130.0	
250.0	230.0	210.0	190.0	170.0	190.0	150.0	210.0	230.0	250.0	230.0	210.0	190.0	170.0	170.0	190.0	210.0	230.0	130.0	210.0	190.0	170.0	150.0	150.0	170.0	190.0	210.0	100.0	171.5	151.5	131.5	111.5	191.5	201.5	221.5	241.5	261.5	191.5	201.5	221.5	241.5	261.5	171.5	181.5	201.5	221.5	241.5	161.5	70.0	181.5	110.0	130.0	150.0	170.0	201.5	213.0	233.0	253.0	273.0	201.5	221.5	241.5	261.5	90.0	80.0	70.0	60.0	100.0	120.0	140.0	160.0	100.0	120.0	140.0	160.0	80.0	100.0	120.0	140.0	40.0	20.0	40.0	20.0	90.0	110.0	130.0	150.0	
270.0	250.0	230.0	210.0	190.0	210.0	170.0	230.0	250.0	270.0	250.0	230.0	210.0	190.0	190.0	210.0	230.0	250.0	150.0	230.0	210.0	190.0	170.0	170.0	190.0	210.0	230.0	120.0	191.5	171.5	151.5	131.5	211.5	221.5	241.5	261.5	281.5	211.5	221.5	241.5	261.5	281.5	191.5	201.5	221.5	241.5	261.5	181.5	90.0	201.5	130.0	150.0	170.0	190.0	221.5	233.0	253.0	273.0	293.0	221.5	241.5	261.5	281.5	110.0	100.0	90.0	80.0	120.0	140.0	160.0	180.0	120.0	140.0	160.0	180.0	100.0	120.0	140.0	160.0	60.0	40.0	20.0	40.0	110.0	130.0	150.0	170.0	
220.0	200.0	180.0	160.0	140.0	160.0	120.0	180.0	200.0	220.0	200.0	180.0	160.0	140.0	140.0	160.0	180.0	200.0	100.0	180.0	160.0	140.0	120.0	120.0	140.0	160.0	180.0	70.0	141.5	121.5	101.5	81.5	161.5	171.5	191.5	211.5	231.5	141.5	151.5	171.5	191.5	211.5	121.5	131.5	151.5	171.5	191.5	111.5	20.0	131.5	80.0	100.0	120.0	140.0	151.5	163.0	183.0	203.0	223.0	151.5	171.5	191.5	211.5	60.0	50.0	40.0	30.0	70.0	90.0	110.0	130.0	70.0	90.0	110.0	130.0	50.0	70.0	90.0	110.0	50.0	70.0	90.0	110.0	40.0	20.0	40.0	60.0	
240.0	220.0	200.0	180.0	160.0	180.0	140.0	200.0	220.0	240.0	220.0	200.0	180.0	160.0	160.0	180.0	200.0	220.0	120.0	200.0	180.0	160.0	140.0	140.0	160.0	180.0	200.0	90.0	161.5	141.5	121.5	101.5	181.5	191.5	211.5	231.5	251.5	161.5	171.5	191.5	211.5	231.5	141.5	151.5	171.5	191.5	211.5	131.5	40.0	151.5	100.0	120.0	140.0	160.0	171.5	183.0	203.0	223.0	243.0	171.5	191.5	211.5	231.5	80.0	70.0	60.0	50.0	90.0	110.0	130.0	150.0	90.0	110.0	130.0	150.0	70.0	90.0	110.0	130.0	70.0	90.0	110.0	130.0	20.0	40.0	20.0	40.0	
260.0	240.0	220.0	200.0	180.0	200.0	160.0	220.0	240.0	260.0	240.0	220.0	200.0	180.0	180.0	200.0	220.0	240.0	140.0	220.0	200.0	180.0	160.0	160.0	180.0	200.0	220.0	110.0	181.5	161.5	141.5	121.5	201.5	211.5	231.5	251.5	271.5	181.5	191.5	211.5	231.5	251.5	161.5	171.5	191.5	211.5	231.5	151.5	60.0	171.5	120.0	140.0	160.0	180.0	191.5	203.0	223.0	243.0	263.0	191.5	211.5	231.5	251.5	100.0	90.0	80.0	70.0	110.0	130.0	150.0	170.0	110.0	130.0	150.0	170.0	90.0	110.0	130.0	150.0	90.0	110.0	130.0	150.0	40.0	20.0	40.0	20.0	
280.0	260.0	240.0	220.0	200.0	220.0	180.0	240.0	260.0	280.0	260.0	240.0	220.0	200.0	200.0	220.0	240.0	260.0	160.0	240.0	220.0	200.0	180.0	180.0	200.0	220.0	240.0	130.0	201.5	181.5	161.5	141.5	221.5	231.5	251.5	271.5	291.5	201.5	211.5	231.5	251.5	271.5	181.5	191.5	211.5	231.5	251.5	171.5	80.0	191.5	140.0	160.0	180.0	200.0	211.5	223.0	243.0	263.0	283.0	211.5	231.5	251.5	271.5	120.0	110.0	100.0	90.0	130.0	150.0	170.0	190.0	130.0	150.0	170.0	190.0	110.0	130.0	150.0	170.0	110.0	130.0	150.0	170.0	60.0	40.0	20.0	40.0	
